Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2
0,-0.577353,0,0,0.288677,-0.5,0,0.288677,0.5,0,0,-1,0,0,-1,0,0,1,0,1,1,1
0.1,-0.554285,-2.08167e-20,0,0.279709,-0.55,0,0.279709,0.55,0,-0.255829,-1,0.00120172,-0.255829,-1,0.00120172,1.2151,1,0.121185,0.999022,0.999022,1.099
0.2,-0.529005,-7.63278e-20,0,0.269795,-0.6,0,0.269795,0.6,0,-0.306826,-1,0,-0.306826,-1,0,1.24115,1,0.122708,0.99904,0.99904,1.199
0.3,-0.500346,2.08167e-20,0,0.258352,-0.65,0,0.258352,0.65,0,-0.37133,-1,0,-0.37133,-1,0,1.28326,1,0.126088,0.999061,0.999061,1.299
0.4,-0.467773,-2.42861e-19,0,0.245087,-0.7,0,0.245087,0.7,0,-0.456213,-1,0,-0.456213,-1,0,1.3477,1,0.131357,0.999084,0.999084,1.399
0.5,-0.430509,-5.20417e-19,0,0.229583,-0.75,0,0.229583,0.75,0,-0.573827,-1,0,-0.573827,-1,0,1.44634,1,0.139392,0.99911,0.99911,1.499
0.6,-0.387357,-7.42462e-19,0,0.211212,-0.8,0,0.211212,0.8,0,-0.748859,-1,0,-0.748859,-1,0,1.60356,1,0.151925,0.999142,0.999142,1.599
0.7,-0.336977,-0.000350215,0,0.189149,-0.849794,0,0.189365,0.850136,0,-0.142541,-1,0,0.771069,1,0.000771069,0.706341,0.929953,0.171548,0.999181,0.999181,1.699
0.8,-0.397285,-0.0362518,0,0.206409,-0.832496,0,0.229111,0.868214,0,0.55608,-1,0,1.51523,1,0.160668,-0.806863,0.929953,0.000656684,0.999225,1.0992,1.70086
0.9,-0.452124,-0.0739006,0,0.219943,-0.813399,0,0.267273,0.886806,0,0.37876,-1,0,1.38769,1,0.144513,-0.669141,0.929953,0,0.999265,1.1992,1.70086
1,-0.502461,-0.113267,0,0.23007,-0.792974,0,0.304444,0.906265,0,0.249461,-1,0,1.31197,1,0.134624,-0.584106,0.929953,0,0.999301,1.29921,1.70087
1.1,-0.549129,-0.154307,0,0.237063,-0.771213,0,0.341102,0.92647,0,0.146461,-1,0,1.26737,1,0.128737,-0.531253,0.929953,0,0.999335,1.39921,1.70087
1.2,-0.59263,-0.196985,0,0.24105,-0.74809,0,0.377556,0.947295,0,0.0583887,-1,0,1.24398,1,0.125404,-0.500785,0.929953,0,0.999368,1.49921,1.70087
1.3,-0.633275,-0.241281,0,0.242065,-0.72355,0,0.41403,0.968609,0,-0.02173,-1,0,1.23691,1,0.123917,-0.487842,0.929953,0,0.999401,1.59921,1.70087
1.4,-0.671517,-0.287266,0,0.240305,-0.696475,0,0.450685,0.989328,0,0.026347,-1,0,1.42366,0.750336,0.123585,-1.61208,-1,0.00322439,0.999434,1.69896,1.69988
1.5,-0.692594,-0.303405,0,0.249417,-0.637397,0,0.459099,0.947674,0,0.0226228,-1,0,0.487671,0.750336,0.00106831,-1.23686,-1,0.124301,0.999468,1.70047,1.59988
1.6,-0.71028,-0.320443,0,0.255573,-0.5776,0,0.467368,0.906241,0,-0.0573973,-1,0,0.500397,0.750336,0,-1.24374,-1,0.12391,0.9995,1.70047,1.49988
1.7,-0.724935,-0.338761,0,0.258624,-0.516743,0,0.47599,0.865148,0,-0.145278,-1,0,0.530588,0.750336,0,-1.26689,-1,0.125393,0.999533,1.70048,1.39988
1.8,-0.736578,-0.358421,0,0.258351,-0.454607,0,0.48521,0.824313,0,-0.247942,-1,0,0.583044,0.750336,0,-1.31113,-1,0.128717,0.999567,1.70048,1.29988
1.9,-0.745146,-0.379535,0,0.254394,-0.390842,0,0.495329,0.783588,0,-0.376639,-1,0,0.667433,0.750336,0,-1.38624,-1,0.134587,0.999603,1.70048,1.19989
2,-0.750465,-0.402309,0,0.246173,-0.324856,0,0.506753,0.742699,0,-0.552791,-1,0,0.803958,0.750336,0,-1.51262,-1,0.144444,0.999643,1.70048,1.0999
2.1,-0.751542,-0.425338,0,0.233961,-0.257532,0,0.518349,0.701085,0,1.03281,-1,0,-1.87088,-1,0.00354632,1.03288,-1,0.157683,0.999687,1.69848,0.999911
2.2,-0.728839,-0.375579,0,0.267679,-0.295553,0,0.466243,0.684484,0,0.74524,-1,0,-1.60023,-1,0.172054,0.745319,-1,0,0.999726,1.59848,0.99995
2.3,-0.703566,-0.328717,0,0.296192,-0.327706,0,0.416706,0.664987,0,0.571434,-1,0,-1.44425,-1,0.151503,0.571529,-1,0,0.999757,1.49848,0.999982
2.4,-0.676506,-0.284147,0,0.320772,-0.354892,0,0.369183,0.642943,0,0.455468,-1,0,-1.34691,-1,0.138656,0.455069,-1,0.000795077,0.999783,1.39848,0.999008
2.5,-0.647879,-0.241087,0,0.342344,-0.379185,0,0.322987,0.619658,0,0.370849,-1,0,-1.28271,-1,0.131226,0.370364,-1,0,0.999806,1.29848,0.999031
2.6,-0.618051,-0.199383,0,0.361328,-0.400558,0,0.277997,0.595013,0,0.306552,-1,0,-1.24076,-1,0.125999,0.305961,-1,0,0.999827,1.19848,0.999052
2.7,-0.587213,-0.158819,0,0.378077,-0.419406,0,0.23402,0.569224,0,0.255732,-1,0,-1.21484,-1,0.12265,0.255011,-1,0,0.999846,1.09848,0.99907
2.8,-0.555333,-0.119849,0,0.392655,-0.437729,0,0.191052,0.544891,0,-0.215336,-1,0,-0.214906,-1,0.118749,1.20196,1,0.00523608,0.999864,0.999484,1.00209
2.9,-0.533436,-0.115373,0,0.394242,-0.488436,0,0.172554,0.592145,0,-0.257079,-1,0,-0.256728,-1,0,1.21545,1,0.120778,0.999881,0.999502,1.10209
3,-0.508599,-0.110292,0,0.394539,-0.539409,0,0.152764,0.639134,0,-0.308265,-1,0,-0.307977,-1,0,1.24182,1,0.122759,0.9999,0.99952,1.20209
3.1,-0.480444,-0.10453,0,0.393335,-0.59069,0,0.13147,0.685814,0,-0.373064,-1,0,-0.372828,-1,0,1.28434,1,0.126174,0.99992,0.999541,1.30209
3.2,-0.448443,-0.0979774,0,0.390341,-0.642339,0,0.108384,0.732126,0,-0.458417,-1,0,-0.458224,-1,0,1.34932,1,0.13149,0.999944,0.999564,1.40209
3.3,-0.411831,-0.0904784,0,0.385146,-0.694439,0,0.0830948,0.777986,0,-0.576821,-1,0,-0.576661,-1,0,1.44883,1,0.139595,0.99997,0.999591,1.50209
3.4,-0.368796,-0.0820183,0,0.376702,-0.747029,0,0.054815,0.82341,0,-0.754926,-1,0.002222,-0.755141,-1,0,1.60924,1,0.152993,0.999002,0.999623,1.60209
3.5,-0.322968,-0.0743993,0,0.366004,-0.797865,0,0.0257063,0.867817,0,0.812855,-1,0,1.72783,1,0.00658956,-1.02945,1,0.165819,0.999041,1.00366,1.70009
3.6,-0.37497,-0.121794,0,0.379327,-0.776935,0,0.0612039,0.893125,0,0.544953,-1,0,1.50667,1,0.160465,-0.797628,1,0,0.999086,1.10368,1.70009
3.7,-0.420855,-0.169716,0,0.388545,-0.755485,0,0.0947849,0.919034,0,0.370992,-1,0,1.38266,1,0.143854,-0.663486,1,0,0.999125,1.20368,1.70009
3.8,-0.462041,-0.218426,0,0.394179,-0.733413,0,0.127253,0.945594,0,0.243478,-1,0,1.30895,1,0.13423,-0.580515,1,0,0.999161,1.30369,1.70009
3.9,-0.499329,-0.268044,0,0.396485,-0.71066,0,0.159089,0.972779,0,0.141491,-1,0,1.26564,1,0.128504,-0.529027,1,0,0.999195,1.40369,1.7001
4,-0.533207,-0.318632,0,0.395575,-0.687172,0,0.190615,1.00053,0,0.053989,-1,0,1.2432,1,0.125282,-0.499577,1,0,0.999228,1.50369,1.7001
4.1,-0.563975,-0.370235,0,0.39147,-0.66289,0,0.222074,1.02875,0,-0.0258584,-1,0,1.23692,1,0.12388,-0.487485,1,0,0.999261,1.60369,1.7001
4.2,-0.591883,-0.421926,0,0.384389,-0.635196,0,0.253385,1.05384,0,0.0959176,-1,0,0.489942,1,0.119976,-1.24353,-1,0.00844393,0.999295,1.70069,1.69511
4.3,-0.608922,-0.441603,0,0.381372,-0.575666,0,0.269745,1.01453,0,0.0186658,-1,0,0.488044,1,0,-1.23692,-1,0.123904,0.999327,1.7007,1.59511
4.4,-0.622662,-0.461881,0,0.375241,-0.51583,0,0.286169,0.975621,0,-0.0616467,-1,0,0.501592,1,0,-1.24455,-1,0.123953,0.99936,1.7007,1.49511
4.5,-0.633177,-0.482809,0,0.365845,-0.45557,0,0.302882,0.937117,0,-0.150115,-1,0,0.532783,1,0,-1.26863,-1,0.125519,0.999393,1.7007,1.39511
4.6,-0.640469,-0.504451,0,0.352916,-0.394713,0,0.320144,0.898984,0,-0.253812,-1,0,0.586594,1,0,-1.31417,-1,0.128952,0.999427,1.70071,1.29511
4.7,-0.644447,-0.526906,0,0.336023,-0.332982,0,0.338283,0.861133,0,-0.384323,-1,0,0.673054,1,0,-1.3913,-1,0.134985,0.999463,1.70071,1.19512
4.8,-0.644893,-0.550348,0,0.314458,-0.269899,0,0.357763,0.823369,0,-0.563898,-1,0,0.813207,1,0,-1.52126,-1,0.145112,0.999503,1.70071,1.09513
4.9,-0.640914,-0.569999,0,0.291652,-0.210255,0,0.374702,0.785429,0,1.02159,-1,0,-1.86008,-1,0.011012,1.02148,-1,0.151867,0.999547,1.69471,0.999141
5,-0.628555,-0.516789,0,0.332104,-0.240553,0,0.327094,0.758615,0,0.738836,-1,0,-1.59426,-1,0.171252,0.738693,-1,0,0.999586,1.59471,0.99918
5.1,-0.61313,-0.465876,0,0.36634,-0.266191,0,0.282555,0.729501,0,0.567296,-1,0,-1.44057,-1,0.151035,0.567123,-1,0,0.999617,1.49471,0.999211
5.2,-0.595445,-0.416656,0,0.39593,-0.288347,0,0.240276,0.698693,0,0.451631,-1,0,-1.34392,-1,0.138826,0.45142,-1,0,0.999644,1.39471,0.999237
5.3,-0.575993,-0.368762,0,0.421809,-0.307721,0,0.199768,0.666558,0,0.367952,-1,0,-1.28074,-1,0.130982,0.367696,-1,0,0.999667,1.29471,0.99926
5.4,-0.555099,-0.321948,0,0.444584,-0.324769,0,0.160703,0.633341,0,0.304251,-1,0,-1.2395,-1,0.12584,0.303939,-1,0,0.999687,1.19471,0.999281
5.5,-0.532995,-0.276042,0,0.464675,-0.339804,0,0.122851,0.599214,0,0.253823,-1,0,-1.21411,-1,0.122552,0.253443,-1,0,0.999706,1.09471,0.999299
5.6,-0.509724,-0.232944,0,0.482368,-0.356237,0,0.0860607,0.569844,0,-0.216724,-1,0,-0.216713,-1,0.113894,1.20228,1,0.0100453,0.999724,0.999714,1.00632
5.7,-0.489067,-0.224104,0,0.494058,-0.40562,0,0.0584078,0.612396,0,-0.258837,-1,0,-0.258828,-1,0,1.21627,1,0.120835,0.999741,0.999731,1.10632
5.8,-0.465638,-0.214078,0,0.504529,-0.455525,0,0.0295361,0.654427,0,-0.310522,-1,0,-0.310515,-1,0,1.24323,1,0.12287,0.99976,0.99975,1.20632
5.9,-0.439077,-0.202712,0,0.51358,-0.506037,0,-0.000755316,0.69585,0,-0.376036,-1,0,-0.37603,-1,0,1.28654,1,0.126353,0.999781,0.99977,1.30632
6,-0.408883,-0.189791,0,0.520937,-0.557275,0,-0.0327412,0.736548,0,-0.46248,-1,0,-0.462475,-1,0,1.35266,1,0.131763,0.999804,0.999794,1.40632
6.1,-0.374323,-0.175002,0,0.526208,-0.609405,0,-0.0668131,0.776354,0,-0.582684,-1,0,-0.58268,-1,0,1.454,1,0.140013,0.99983,0.99982,1.50632
6.2,-0.334266,-0.157861,0,0.528798,-0.662682,0,-0.103565,0.815012,0,-0.762489,-1,0,-0.762485,-1,0,1.61608,1,0.15291,0.999862,0.999852,1.60632
6.3,-0.294477,-0.144268,0,0.528951,-0.711517,0,-0.138205,0.852445,0,0.796419,-1,0,1.71347,1,0.0134537,-1.01447,1,0.159187,0.999902,1.00789,1.70032
6.4,-0.335584,-0.201063,0,0.53758,-0.688379,0,-0.10861,0.884363,0,0.535096,-1,0,1.49898,1,0.159412,-0.789345,1,0,0.999946,1.1079,1.70032
6.5,-0.370684,-0.257183,0,0.542122,-0.66554,0,-0.0809649,0.916499,0,0.364202,-1,0,1.37815,1,0.143262,-0.658422,1,0,0.999985,1.20791,1.70032
6.6,-0.40048,-0.313241,0,0.542615,-0.642808,0,-0.054649,0.949162,0,0.23917,-1,0.00100079,1.30684,1,0.133609,-0.578129,1,0,0.999021,1.30792,1.70032
6.7,-0.426907,-0.369345,0,0.540181,-0.620048,0,-0.0289425,0.9822,0,0.137888,-1,0,1.26447,1,0.128343,-0.527619,1,0,0.999055,1.40792,1.70032
6.8,-0.449809,-0.42572,0,0.534451,-0.597211,0,-0.003641,1.01573,0,0.0507703,-1,0,1.24272,1,0.125201,-0.498905,1,0,0.999088,1.50792,1.70033
6.9,-0.46947,-0.482468,0,0.525427,-0.574235,0,0.0215085,1.04971,0,-0.0289097,-1,0,1.23702,1,0.123862,-0.487436,1,0,0.99912,1.60792,1.70033
7,-0.486284,-0.537345,0,0.512823,-0.547128,0,0.0470975,1.07778,0,0.0927949,-1,0,0.48968,1,0.115033,-1.24305,-1,0.0134174,0.999155,1.70092,1.69134
7.1,-0.498889,-0.560041,0,0.4978,-0.489425,0,0.0710045,1.04257,0,0.0154823,-1,0,0.488391,1,0,-1.23699,-1,0.123884,0.999187,1.70093,1.59134
7.2,-0.508143,-0.582668,0,0.479658,-0.432043,0,0.0949014,1.00777,0,-0.065079,-1,0,0.502607,1,0,-1.24524,-1,0.123991,0.999219,1.70093,1.49134
7.3,-0.514109,-0.605286,0,0.458222,-0.374898,0,0.119011,0.973425,0,-0.154038,-1,0,0.534611,1,0,-1.27008,-1,0.125625,0.999252,1.70093,1.39134
7.4,-0.516769,-0.62796,0,0.433189,-0.317871,0,0.143596,0.939553,0,-0.258591,-1,0,0.589534,1,0,-1.31668,-1,0.129148,0.999287,1.70093,1.29134
7.5,-0.516012,-0.650771,0,0.40407,-0.260773,0,0.169001,0.906131,0,-0.39061,-1,0,0.677703,1,0,-1.39548,-1,0.135313,0.999323,1.70094,1.19135
7.6,-0.511579,-0.673847,0,0.370059,-0.20327,0,0.195727,0.873057,0,-0.573039,-1,0,0.820871,1,0,-1.52842,-1,0.145664,0.999363,1.70094,1.09135
7.7,-0.504007,-0.689151,0,0.339203,-0.152668,0,0.217098,0.839215,0,1.00729,-1,0,-1.84647,-1,0.0184216,1.00728,-1,0.145802,0.999407,1.69094,0.999371
7.8,-0.502428,-0.634611,0,0.384594,-0.174083,0,0.176006,0.803317,0,0.730648,-1,0,-1.58681,-1,0.170245,0.730635,-1,0,0.999446,1.59094,0.999409
7.9,-0.497428,-0.581685,0,0.423049,-0.192226,0,0.138336,0.765804,0,0.561957,-1,0,-1.43602,-1,0.150451,0.561941,-1,0,0.999477,1.49094,0.99944
8,-0.4899,-0.529951,0,0.456303,-0.207914,0,0.103194,0.727098,0,0.447838,-1,0,-1.34097,-1,0.138458,0.447818,-1,0,0.999503,1.39094,0.999466
8.1,-0.48039,-0.479153,0,0.485394,-0.221639,0,0.0700335,0.687457,0,0.365082,-1,0,-1.27881,-1,0.130742,0.365059,-1,0,0.999526,1.29094,0.999489
8.2,-0.469261,-0.429119,0,0.511,-0.233718,0,0.0384919,0.647052,0,0.301967,-1,0,-1.23825,-1,0.125683,0.301939,-1,0,0.999546,1.19094,0.99951
8.3,-0.456771,-0.379727,0,0.533587,-0.244374,0,0.00831208,0.606005,0,0.251925,-1,0,-1.2134,-1,0.122455,0.251891,-1,0,0.999565,1.09094,0.999528
8.4,-0.442453,-0.33431,0,0.554241,-0.258361,0,-0.022055,0.572966,0,-0.218129,-1,0,-0.218527,-1,0.109041,1.20263,1,0.0148559,0.999583,0.999942,1.01054
8.5,-0.423898,-0.321429,0,0.575559,-0.304432,0,-0.0577194,0.609072,0,-0.260615,-1,0,-0.260941,-1,0,1.21712,1,0.120894,0.9996,0.999959,1.11054
8.6,-0.402852,-0.306823,0,0.595779,-0.351262,0,-0.094479,0.64442,0,-0.312807,-1,0,-0.313074,-1,0,1.24468,1,0.122984,0.999619,0.999978,1.21054
8.7,-0.37899,-0.290265,0,0.614721,-0.398979,0,-0.132516,0.678883,0,-0.379047,-1,0,-0.379266,-1,0,1.28877,1,0.126535,0.99964,0.999999,1.31054
8.8,-0.351647,-0.2709,0,0.632223,-0.4479,0,-0.172341,0.711899,0,-0.467585,-1,0,-0.467263,-1,0.00160997,1.3567,1,0.132475,0.999664,0.999022,1.41054
8.9,-0.320535,-0.249342,0,0.647744,-0.497973,0,-0.213818,0.743992,0,-0.589983,-1,0,-0.589717,-1,0,1.46031,1,0.140521,0.999691,0.999049,1.51054
9,-0.284445,-0.224327,0,0.660837,-0.549731,0,-0.257726,0.774397,0,-0.773922,-1,0,-0.773703,-1,0,1.62658,1,0.153729,0.999723,0.999081,1.61054
9.1,-0.250972,-0.206678,0,0.670531,-0.59444,0,-0.296447,0.804418,0,0.787007,-1,0,1.70534,1,0.0203165,-1.00611,1,0.152946,0.999763,1.01112,1.70054
9.2,-0.279652,-0.270505,0,0.674222,-0.570071,0,-0.273937,0.841612,0,0.529339,-1,0,1.49461,1,0.158815,-0.784747,1,0,0.999807,1.11113,1.70055
9.3,-0.302624,-0.332494,0,0.673984,-0.546806,0,-0.253354,0.878643,0,0.360143,-1,0,1.37559,1,0.142926,-0.655651,1,0,0.999846,1.21114,1.70055
9.4,-0.321036,-0.393402,0,0.670233,-0.524361,0,-0.234009,0.915852,0,0.235181,-1,0,1.3047,1,0.133677,-0.575587,1,0,0.999882,1.31114,1.70055
9.5,-0.33555,-0.453636,0,0.663167,-0.502588,0,-0.215464,0.953394,0,0.134659,-1,0,1.26322,1,0.128177,-0.526008,1,0,0.999916,1.41115,1.70055
9.6,-0.346574,-0.513438,0,0.652862,-0.481398,0,-0.197403,0.991334,0,0.0479978,-1,0,1.24209,1,0.125109,-0.497966,1,0,0.999949,1.51115,1.70056
9.7,-0.354357,-0.572958,0,0.639306,-0.460728,0,-0.179575,1.02969,0,-0.0314235,-1,0,1.23688,1,0.123824,-0.487032,1,0,0.999981,1.61115,1.70056
9.8,-0.359477,-0.628673,0,0.620684,-0.435495,0,-0.159647,1.05969,0,0.0905185,-1,0.00121287,0.489317,1,0.110145,-1.24264,-1,0.0183899,0.999016,1.70015,1.68756
9.9,-0.367178,-0.653408,0,0.594301,-0.382012,0,-0.129163,1.03,0,0.013177,-1,0,0.488472,1,0,-1.237,-1,0.123864,0.999048,1.70015,1.58756
10,-0.371613,-0.677405,0,0.564925,-0.329469,0,-0.0987662,1.00072,0,-0.0675515,-1,0,0.503169,1,0,-1.2457,-1,0.124014,0.99908,1.70016,1.48756
10.1,-0.372828,-0.700736,0,0.532361,-0.277817,0,-0.0682457,0.971918,0,-0.156855,-1,0,0.535761,1,0,-1.2711,-1,0.125697,0.999114,1.70016,1.38757
10.2,-0.370792,-0.72346,0,0.496286,-0.227,0,-0.0373454,0.943683,0,-0.262025,-1,0,0.591492,1,0,-1.31848,-1,0.129286,0.999148,1.70016,1.28757
10.3,-0.365377,-0.745634,0,0.456174,-0.176929,0,-0.00571978,0.916054,0,-0.395145,-1,0,0.680913,1,0,-1.3985,-1,0.13555,0.999184,1.70016,1.18757
10.4,-0.356296,-0.767333,0,0.411156,-0.127436,0,0.0271497,0.88903,0,-0.579692,-1,0,0.826318,1,0,-1.53368,-1,0.146067,0.999224,1.70017,1.08758
10.5,-0.346753,-0.777773,0,0.374871,-0.0865439,0,0.0521035,0.859513,0,0.989783,-1,0,-1.82982,-1,0.0257341,0.989881,-1,0.139477,0.999269,1.68617,0.999601
10.6,-0.355934,-0.724069,0,0.423209,-0.0983284,0,0.0192572,0.816057,0,0.72056,-1,0,-1.57763,-1,0.169008,0.720679,-1,0,0.999307,1.58617,0.999639
10.7,-0.361498,-0.671246,0,0.464213,-0.108327,0,-0.00997461,0.771722,0,0.555358,-1,0,-1.43039,-1,0.149732,0.555502,-1,0,0.999338,1.48617,0.999669
10.8,-0.36438,-0.619076,0,0.499698,-0.116982,0,-0.0365267,0.726733,0,0.443143,-1,0,-1.33733,-1,0.138004,0.443318,-1,0,0.999364,1.38617,0.999695
10.9,-0.365154,-0.567419,0,0.530752,-0.124558,0,-0.0609729,0.681232,0,0.361532,-1,0,-1.27641,-1,0.130445,0.361745,-1,0,0.999386,1.28617,0.999718
11,-0.364204,-0.516182,0,0.55809,-0.13123,0,-0.083697,0.635312,0,0.299149,-1,0,-1.23672,-1,0.125489,0.299408,-1,0,0.999406,1.18617,0.999738
11.1,-0.361801,-0.465298,0,0.582205,-0.137117,0,-0.104971,0.589039,0,0.249592,-1,0,-1.21253,-1,0.122337,0.249909,-1,0,0.999425,1.08617,0.999757
11.2,-0.356396,-0.419344,0,0.605532,-0.148083,0,-0.128938,0.553592,0,-0.220298,-1,0,-0.219997,-1,0.10418,1.20312,1,0.0196693,0.999443,0.99917,1.01477
11.3,-0.34069,-0.40292,0,0.635604,-0.188978,0,-0.171165,0.581781,0,-0.263128,-1,0,-0.262883,-1,0,1.21818,1,0.120972,0.999461,0.999188,1.11477
11.4,-0.32288,-0.384293,0,0.66475,-0.230844,0,-0.21432,0.608999,0,-0.315849,-1,0,-0.315648,-1,0,1.24643,1,0.123124,0.99948,0.999207,1.21477
11.5,-0.302687,-0.363171,0,0.692814,-0.273843,0,-0.258559,0.635082,0,-0.382908,-1,0,-0.382743,-1,0,1.29147,1,0.126756,0.9995,0.999228,1.31477
11.6,-0.279722,-0.339146,0,0.719582,-0.318198,0,-0.304094,0.659808,0,-0.471776,-1,0,-0.47164,-1,0,1.36017,1,0.132377,0.999524,0.999251,1.41477
11.7,-0.253415,-0.311622,0,0.744751,-0.364229,0,-0.351231,0.682857,0,-0.596069,-1,0,-0.595957,-1,0,1.46571,1,0.140957,0.999551,0.999278,1.51477
11.8,-0.222875,-0.279667,0,0.767853,-0.412422,0,-0.400434,0.703743,0,-0.783546,-1,0,-0.783454,-1,0,1.63555,1,0.154429,0.999583,0.999311,1.61477
11.9,-0.195665,-0.259845,0,0.785457,-0.451283,0,-0.441739,0.726263,0,0.774506,-1,0,1.69459,1,0.0271174,-0.995019,1,0.146454,0.999624,1.01535,1.70077
12,-0.210738,-0.327989,0,0.78404,-0.426744,0,-0.427233,0.767177,0,0.521651,-1,0,1.4888,1,0.158023,-0.778603,1,0,0.999668,1.11536,1.70077
12.1,-0.220635,-0.39324,0,0.779013,-0.404054,0,-0.414553,0.807571,0,0.354705,-1,0,1.37218,1,0.142479,-0.651932,1,0,0.999707,1.21537,1.70078
12.2,-0.226308,-0.456542,0,0.770717,-0.382865,0,-0.403104,0.847903,0,0.230943,-1,0,1.30268,1,0.133412,-0.573287,1,0,0.999742,1.31537,1.70078
12.3,-0.228312,-0.518419,0,0.75931,-0.362994,0,-0.392492,0.888407,0,0.131095,-1,0,1.26211,1,0.128024,-0.524662,1,0,0.999776,1.41537,1.70078
12.4,-0.226993,-0.57918,0,0.744845,-0.344341,0,-0.382425,0.929208,0,0.0447998,-1,0,1.24166,1,0.125033,-0.497342,1,0,0.999809,1.51538,1.70078
12.5,-0.222561,-0.639022,0,0.727297,-0.326848,0,-0.372659,0.970369,0,-0.0344677,-1,0,1.23702,1,0.12381,-0.487025,1,0,0.999841,1.61538,1.70079
12.6,-0.217292,-0.693457,0,0.703787,-0.304399,0,-0.35805,1.00108,0,0.0875411,-1,0,0.488714,1,0.105118,-1.24198,-1,0.0233555,0.999876,1.70038,1.68379
12.7,-0.219766,-0.719168,0,0.667113,-0.257364,0,-0.322231,0.978123,0,0.0102574,-1,0,0.48844,1,0,-1.23687,-1,0.123824,0.999908,1.70038,1.58379
12.8,-0.219195,-0.743507,0,0.627692,-0.211846,0,-0.286571,0.955543,0,-0.0705827,-1,0,0.503724,1,0,-1.24612,-1,0.124027,0.999941,1.70039,1.48379
12.9,-0.215609,-0.766551,0,0.585323,-0.167838,0,-0.250881,0.933471,0,-0.160201,-1,0,0.536996,1,0,-1.27216,-1,0.12577,0.999974,1.70039,1.38379
13,-0.208519,-0.788207,0,0.53915,-0.12563,0,-0.214865,0.912172,0,-0.266888,-1,0.00150442,0.59453,1,0,-1.32109,-1,0.129689,0.999008,1.70039,1.2838
13.1,-0.198629,-0.808801,0,0.489646,-0.0846681,0,-0.178317,0.891471,0,-0.40158,-1,0,0.685723,1,0,-1.40284,-1,0.135891,0.999045,1.70039,1.1838
13.2,-0.185224,-0.828196,0,0.435402,-0.0452557,0,-0.140643,0.871614,0,-0.589131,-1,0,0.83429,1,0,-1.54114,-1,0.146641,0.999085,1.70039,1.08381
13.3,-0.175263,-0.833726,0,0.3961,-0.0140892,0,-0.11285,0.846511,0,0.976255,-1,0,-1.81698,-1,0.0330288,0.976463,-1,0.133359,0.999129,1.6824,0.99983
13.4,-0.194856,-0.782954,0,0.445479,-0.0159417,0,-0.136148,0.797352,0,0.712705,-1,0,-1.57051,-1,0.168053,0.712957,-1,0,0.999167,1.5824,0.999868
13.5,-0.210776,-0.732317,0,0.487408,-0.0175192,0,-0.155779,0.748058,0,0.55019,-1,0,-1.42601,-1,0.149173,0.550496,-1,0,0.999198,1.4824,0.999899
13.6,-0.223964,-0.681781,0,0.523715,-0.0188893,0,-0.172682,0.698663,0,0.439449,-1,0,-1.33449,-1,0.137651,0.439821,-1,0,0.999224,1.3824,0.999924
13.7,-0.235001,-0.631324,0,0.555499,-0.020093,0,-0.187438,0.649189,0,0.358722,-1,0,-1.27454,-1,0.130213,0.359175,-1,0,0.999246,1.2824,0.999947
13.8,-0.244276,-0.580932,0,0.583484,-0.0211573,0,-0.200438,0.59965,0,0.296903,-1,0,-1.23553,-1,0.125338,0.297454,-1,0,0.999266,1.1824,0.999967
13.9,-0.252065,-0.530594,0,0.60817,-0.0221006,0,-0.211955,0.550058,0,0.247719,-1,0,-1.21186,-1,0.122245,0.248392,-1,0,0.999285,1.0824,0.999985
14,-0.267195,-0.492768,0,0.633915,-0.016353,0,-0.218001,0.50542,0,1.20348,1,0.0246952,-0.221784,-1,0.0991173,-0.221351,-1,0.00120153,1.0183,0.999399,0.999004
14.1,-0.315524,-0.508315,0,0.673998,0.0148268,0,-0.207345,0.48523,0,1.21898,1,0.121029,-0.264911,-1,0,-0.264557,-1,0,1.1183,0.999417,0.999021
14.2,-0.364483,-0.52267,0,0.713448,0.0472015,0,-0.195257,0.462335,0,1.24777,1,0.12323,-0.318061,-1,0,-0.317771,-1,0,1.2183,0.999436,0.99904
14.3,-0.41418,-0.535632,0,0.75216,0.0809719,0,-0.181548,0.436375,0,1.29353,1,0.126924,-0.385761,-1,0,-0.385523,-1,0,1.3183,0.999457,0.999061
14.4,-0.464759,-0.546924,0,0.789988,0.116414,0,-0.165951,0.406845,0,1.3633,1,0.132633,-0.47564,-1,0,-0.475444,-1,0,1.4183,0.99948,0.999085
14.5,-0.516431,-0.556152,0,0.826723,0.153923,0,-0.148074,0.373003,0,1.4706,1,0.141351,-0.601648,-1,0,-0.601487,-1,0,1.5183,0.999508,0.999112
14.6,-0.569516,-0.562708,0,0.862044,0.194106,0,-0.127303,0.33369,0,1.64372,1,0.155065,-0.792368,-1,0,-0.792235,-1,0,1.6183,0.99954,0.999145
14.7,-0.613079,-0.574679,0,0.887948,0.22403,0,-0.107376,0.311797,0,-0.982706,1,0.139824,1.68276,1,0.033851,0.76063,-1,0,1.7003,1.01958,0.999185
