Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,-1,1,1,1
0.1,0.654512,-3.88578e-19,0,-0.32553,0.4995,0,-0.32553,-0.4995,0,0.92014,0.92014,-0.364919,1,1,-1,1.09899,1.09899,0.999
0.2,0.729738,-5.55112e-20,0,-0.361365,0.4995,0,-0.361365,-0.4995,0,0.872049,0.872049,-0.319094,1,1,-1,1.199,1.199,0.999
0.3,0.80343,-4.71845e-19,0,-0.396789,0.4995,0,-0.396789,-0.4995,0,0.836191,0.836191,-0.284306,1,1,-1,1.29901,1.29901,0.999
0.4,0.875949,8.32667e-20,0,-0.431929,0.4995,0,-0.431929,-0.4995,0,0.808503,0.808503,-0.256889,1,1,-1,1.39902,1.39902,0.999
0.5,0.947544,2.77556e-20,0,-0.466868,0.4995,0,-0.466868,-0.4995,0,0.786532,0.786532,-0.234654,1,1,-1,1.49902,1.49902,0.999
0.6,1.0184,-3.88578e-19,0,-0.501662,0.4995,0,-0.501662,-0.4995,0,0.768713,0.768713,-0.21621,1,1,-1,1.59902,1.59902,0.999
0.7,1.08864,-3.05311e-19,0,-0.536349,0.4995,0,-0.536349,-0.4995,0,0.753996,0.753996,-0.200631,1,1,-1,1.69903,1.69903,0.999
0.8,1.15838,-2.22045e-19,0,-0.570957,0.4995,0,-0.570957,-0.4995,0,0.741658,0.741658,-0.187276,1,1,-1,1.79903,1.79903,0.999
0.9,1.22769,-4.44089e-19,0,-0.605507,0.4995,0,-0.605507,-0.4995,0,0.731178,0.731178,-0.175683,-1,1,-1,1.89903,1.89903,0.999
1,1.19333,-0.0228575,0,-0.63018,0.510933,0,-0.546471,-0.484589,0,-1.25143,0.526327,0.00673461,-1,1,-1,1.80103,1.90004,0.999035
1.1,1.15942,-0.0457436,0,-0.654826,0.518752,0,-0.487784,-0.466255,0,-1.26081,0.542941,-0.0786355,-1,1,-1,1.70103,1.90004,0.99907
1.2,1.126,-0.0688785,0,-0.679506,0.522993,0,-0.429372,-0.444296,0,-1.28801,0.578589,-0.173016,-1,1,-1,1.60103,1.90004,0.999106
1.3,1.09309,-0.0925254,0,-0.704283,0.523598,0,-0.371129,-0.418367,0,-1.33851,0.638762,-0.284084,-1,1,-1,1.50104,1.90004,0.999144
1.4,1.06069,-0.117029,0,-0.729239,0.520396,0,-0.312893,-0.387914,0,-1.42333,0.734427,-0.424423,-1,1,-1,1.40104,1.90004,0.999184
1.5,1.02873,-0.142891,0,-0.754502,0.513034,0,-0.254382,-0.352032,0,-1.56534,0.888401,-0.618085,-1,1,-1,1.30105,1.90004,0.999229
