Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,1
0.1,0.658897,1.38778e-18,0,-0.321146,0.4995,0,-0.321146,-0.4995,0,4.17642,4.17642,-0.776037,1.09899,1.09899,0.999
0.2,0.737475,1.33227e-18,0,-0.353628,0.4995,0,-0.353628,-0.4995,0,3.76475,3.76475,-0.683158,1.199,1.199,0.999
0.3,0.813743,1.60728e-18,0,-0.386477,0.4995,0,-0.386477,-0.4995,0,3.46624,3.46624,-0.616895,1.29901,1.29901,0.999
0.4,0.888211,1.94218e-18,0,-0.419667,0.4995,0,-0.419667,-0.4995,0,3.24105,3.24105,-0.566212,1.39902,1.39902,0.999
0.5,0.889246,0.0511289,0,-0.346981,0.453409,0,-0.491443,-0.535197,0,6.05216,-6.24933,-1.07292,1.49903,1.30103,0.999104
0.6,0.892236,0.103916,0,-0.27189,0.395403,0,-0.563392,-0.560351,0,6.6955,-7.11232,-2.44648,1.59903,1.20106,0.999218
0.7,0.915251,0.146225,0,-0.224885,0.342421,0,-0.625029,-0.573252,0,6.4013,-5.03591,-3.00456,1.69903,1.15732,0.999286
0.8,0.937507,0.193031,0,-0.173033,0.277413,0,-0.688739,-0.578619,0,8.05037,-6.84052,-4.94819,1.79903,1.11417,0.99937
0.9,0.935749,0.23936,0,-0.0779718,0.248758,0,-0.763447,-0.610857,0,8.18506,-9.77093,-1.80701,1.89904,1.01476,1.09846
1,0.92684,0.215582,0,-0.0669628,0.325105,0,-0.764063,-0.651016,0,-4.15662,3.42114,7.27937,1.90004,0.999819,1.19848
1.1,0.917952,0.19195,0,-0.0599088,0.400585,0,-0.764206,-0.691504,0,-3.15641,2.31567,6.16874,1.90004,0.999869,1.2985
1.2,0.905412,0.171844,0,-0.048893,0.470388,0,-0.766275,-0.731269,0,-2.5855,1.61693,5.51175,1.90004,0.999913,1.39851
1.3,0.876726,0.092152,0,-0.0947856,0.608265,0,-0.708927,-0.759815,0,-7.26953,6.59047,6.8353,1.80104,1.09909,1.4986
1.4,0.842178,0.0219724,0,-0.128843,0.72739,0,-0.655076,-0.783239,0,-6.1838,5.04065,5.54074,1.70104,1.19921,1.59866
1.5,0.855197,-0.0366461,0,-0.19425,0.730946,0,-0.594224,-0.714429,0,-3.85408,5.31937,-3.55425,1.60107,1.29921,1.5007
1.6,0.868086,-0.0959598,0,-0.260241,0.73317,0,-0.529736,-0.640379,0,-4.29006,5.48119,-4.06206,1.5011,1.39921,1.40074
1.7,0.965718,-0.106882,0,-0.307333,0.686899,0,-0.560383,-0.587967,0,3.85925,3.56205,-5.32076,1.59913,1.49925,1.30074
1.8,1.05712,-0.116406,0,-0.353092,0.640045,0,-0.590459,-0.535977,0,3.55169,3.17809,-5.29774,1.69916,1.59928,1.20074
1.9,1.08091,-0.0627887,0,-0.297581,0.529479,0,-0.663388,-0.507756,0,7.23641,-6.79764,-6.54655,1.79916,1.50134,1.10085
2,1.10384,-0.00310034,0,-0.238148,0.397264,0,-0.738406,-0.468648,0,9.83631,-9.63927,-9.67869,1.89916,1.40144,1.00103
2.1,1.07552,0.0248718,0,-0.182917,0.352748,0,-0.761228,-0.461933,0,3.14228,-6.15104,-2.29791,1.90016,1.30145,0.999074
2.2,1.04801,0.0545512,0,-0.126662,0.302032,0,-0.783774,-0.4506,0,4.12827,-7.24651,-3.38979,1.90016,1.20146,0.999124
2.3,1.02131,0.0875249,0,-0.0684109,0.241053,0,-0.806239,-0.432733,0,6.14788,-9.41427,-5.49088,1.90016,1.10149,0.999188
2.4,0.994692,0.127698,0,-0.00531095,0.160717,0,-0.829444,-0.404416,0,12.2411,-15.7206,-11.6349,1.90016,1.00155,0.999284
2.5,0.990203,0.0915774,0,0.00518284,0.261941,0,-0.830421,-0.452432,0,-6.23055,5.57589,9.50293,1.90016,0.999644,1.09835
2.6,0.980944,0.0643335,0,0.0214075,0.344883,0,-0.835138,-0.494656,0,-4.16161,3.42625,7.28428,1.90016,0.999708,1.19837
2.7,0.968086,0.0425918,0,0.04149,0.418009,0,-0.842325,-0.534503,0,-3.1592,2.31863,6.17144,1.90016,0.999759,1.29839
2.8,0.952245,0.0249612,0,0.0644878,0.484845,0,-0.851284,-0.5733,0,-2.58725,1.61891,5.51341,1.90017,0.999802,1.3984
2.9,0.910126,-0.0485348,0,0.0432929,0.628639,0,-0.799779,-0.611407,0,-7.27136,6.59287,6.83739,1.80117,1.09898,1.49849
3,0.863889,-0.111635,0,0.0304922,0.751893,0,-0.750827,-0.643854,0,-6.18465,5.04201,5.54182,1.70117,1.1991,1.59855
3.1,0.8665,-0.171618,0,-0.0333018,0.766789,0,-0.67892,-0.586701,0,-3.85424,5.31943,-3.55364,1.60119,1.2991,1.50059
